SteamID,Deaths,Kills,Headshots,Assists,Shots,Defuses,Plants,Ticks Alive,Ticks on Server,Ticks playing
76561198058871514,14,14,7,2,445,0,0,48239,63628,63477
76561198069820117,40,56,8,12,1398,7,0,139256,220039,213082
76561198064508818,478,283,188,105,8729,0,2,705907,1074304,1072805
76561198127715621,187,154,70,35,3710,9,4,361128,556260,535010
76561198076511980,75,78,26,24,2211,10,0,245205,340446,339653
76561197969173419,173,139,64,49,3145,6,1,347151,612004,508973
76561198080664669,211,185,73,51,4177,14,1,457582,668586,666117
76561198071603055,321,273,156,62,5902,9,2,569225,901481,900041
76561198141824576,72,74,33,11,1401,3,0,163568,250027,249576
76561198152727419,68,41,44,6,955,6,1,112000,171026,151617
76561198043846650,10,22,4,2,141,0,1,38542,63829,63769
76561198020032770,166,128,74,46,4085,12,1,358146,599105,513158
76561198008738871,342,195,158,60,5121,16,3,560924,773712,772760
76561197983033667,315,269,128,76,7163,4,2,628775,1072882,983215
76561198123165941,230,274,106,61,6361,9,5,688435,970491,966837
76561198045730107,76,124,23,36,1865,0,0,251528,402110,399950
76561198125419835,258,224,78,46,5398,5,3,701019,965085,905050
76561198123159921,19,18,11,3,495,0,0,34541,66808,57802
76561198098447167,122,125,26,18,3010,11,3,364316,494810,477249
76561197999945636,54,90,16,20,1829,4,0,197845,316631,316303
76561198042968543,28,38,15,6,722,0,1,73447,111740,111132
76561198082565413,49,99,10,17,1670,4,1,211104,380847,330689
76561198125156253,46,56,10,9,924,1,0,140494,211692,211363
76561198020938759,115,172,29,37,3297,0,3,344209,581302,578358
76561198045029419,77,51,30,11,1563,2,0,158009,215214,204015
76561197985762779,134,133,48,26,2427,7,0,264228,423072,422098
76561198090089369,24,44,11,7,753,0,0,71279,120262,119990
76561198187099121,37,69,17,6,1314,3,0,133547,279995,211770
76561198179801531,14,35,3,8,550,1,0,72668,115111,114949
76561198046564543,18,20,10,2,269,1,0,34886,51618,51618
76561198015559512,13,13,5,1,470,1,0,36368,51618,51618
76561198122610024,19,43,0,11,632,2,0,97923,153502,152553
76561198110547487,18,74,1,3,687,2,0,116397,248997,188109
76561198209312192,27,68,8,16,1215,7,0,140671,213439,213093
76561198063722414,48,81,18,7,846,9,1,155041,269598,239271
76561198005866111,36,20,9,3,600,0,0,58711,75294,75128
76561198026321441,20,17,9,6,410,2,0,50553,75256,75115
76561197982512908,24,24,10,4,465,2,0,55917,144878,88622
76561198060966573,36,45,15,7,708,5,0,84537,144063,143731
76561198048573666,44,56,18,8,934,1,0,132387,212055,193513
76561198055745873,91,109,44,29,2787,3,0,270995,411258,398980
76561198063490712,50,67,13,15,834,1,1,137902,217823,217391
76561198210216777,45,48,18,11,1042,1,1,92455,163889,163621
76561198101385453,16,23,6,4,322,1,0,51924,117908,75650
76561198098255506,18,27,6,3,480,1,1,86015,159717,126013
76561198161647573,0,9,0,1,156,1,0,24552,35417,35138
76561198142218782,44,35,20,15,1304,2,1,102356,144120,143967
76561198123367848,28,41,13,10,824,1,1,81152,139248,137819
76561198015661145,157,116,63,26,2972,6,1,363678,527050,506216
76561198077775676,4,7,1,0,125,0,0,11120,23035,16324
76561198068224820,4,10,1,3,192,0,0,27677,38585,38506
76561198067827711,7,6,5,4,213,3,0,26234,71409,32721
76561198042702754,11,21,1,6,248,0,0,37026,114121,67430
76561198014391272,30,40,10,12,560,1,0,98792,152419,151928
76561198129278591,11,22,4,2,555,2,0,67029,88906,88702
76561198042236165,14,18,2,5,415,1,0,41922,67647,67363
76561198069539982,15,23,5,2,235,0,0,44223,88673,84413
76561198081354426,63,54,21,14,1352,0,1,144785,190089,189763
76561198072130043,23,27,15,7,553,4,0,53760,81700,81491
76561198054983380,41,18,11,4,541,0,3,55533,80834,80369
76561198044157412,5,11,1,2,100,0,0,19200,38552,28994
76561198093107457,16,32,4,4,366,3,0,65961,126327,104887
76561198042933929,25,17,7,6,661,2,0,62104,84635,84635
76561198126729562,31,46,12,7,725,2,0,112805,165221,165221
76561198001558365,41,51,19,7,1268,3,0,107337,173183,172989
76561198115674180,78,63,36,12,1630,1,2,128713,250530,202046
76561198115870590,10,27,3,0,300,0,0,56998,84635,84635
76561198105789040,2,2,2,0,36,0,0,6384,21381,8459
76561198105218715,29,33,6,10,644,1,0,105279,170792,147473
76561198023829871,47,35,17,15,1508,3,0,106110,155028,155028
76561198259312703,3,7,3,3,166,0,0,10971,18689,18689
76561198296596399,12,16,7,2,344,0,0,35527,53979,53979
76561198127881239,17,14,9,8,350,1,1,49609,64889,63656
76561198012891563,28,15,5,4,487,0,0,51652,68871,68871
76561198106379962,9,21,1,10,472,0,0,34901,68871,68871
76561197975991405,6,10,1,0,199,0,0,19331,63667,38743
76561198149067753,54,90,12,10,1429,0,0,165497,308641,251250
76561198009091066,50,49,20,7,1063,3,1,99203,150170,149760
76561197996653521,46,61,22,16,1166,0,0,109187,179213,178637
76561198014225515,57,56,20,12,904,0,0,87606,162331,162021
76561198032791112,4,9,2,1,147,0,0,23850,33875,33779
76561197962873169,28,37,9,16,687,0,1,73491,145116,131106
76561198331119868,21,13,17,7,466,0,0,36538,65636,52786
76561198103204828,15,11,7,3,327,1,0,37236,48351,48351
76561198000608794,35,33,17,10,907,1,1,76996,148742,124720
76561197989151820,14,12,7,2,334,0,0,33356,48351,48351
76561198044002153,7,20,6,1,323,1,0,29647,48351,48351
76561198116100101,8,10,3,0,199,0,0,15410,29456,26241
76561198145185585,29,35,11,5,492,0,0,70600,117802,117519
76561198068391876,19,17,9,2,235,0,0,42390,63452,63067
76561198309828609,54,78,18,8,1375,3,0,195637,284359,283986
76561198063274189,24,17,12,4,526,0,0,38921,63487,63010
76561198125271537,28,22,8,6,705,1,0,59615,84369,84369
76561198020563704,45,47,18,11,1224,2,0,101987,170526,170526
76561198161418111,25,29,13,7,551,0,0,56070,86157,86157
76561198109378462,18,20,7,1,338,3,0,30155,54337,54077
76561198155855310,18,26,7,4,607,0,1,50180,88492,88353
76561198079478695,32,25,14,5,479,2,0,47122,80586,80586
76561198283770796,7,7,1,0,153,2,0,18134,73099,24047
